document,quotation,Group,Codes,Themes
634,The pattern matching process takes as input a pattern (following case) and a subject value (following match). Phrases to describe the process include “the pattern is matched with (or against) the subject value” and “we match the pattern against (or with) the subject value”.,Pattern Matching Process,Pattern Matching Process,Informal Semantics of Structural Pattern Matching
634,"The primary outcome of pattern matching is success or failure. In case of success we may say “the pattern succeeds”, “the match succeeds”, or “the pattern matches the subject value”.",Outcome,Success or Failure,Informal Semantics of Structural Pattern Matching
634,"In many cases a pattern contains subpatterns, and success or failure is determined by the success or failure of matching those subpatterns against the value (e.g., for OR patterns) or against parts of the value (e.g., for sequence patterns). This process typically processes the subpatterns from left to right until the overall outcome is determined. E.g., an OR pattern succeeds at the first succeeding subpattern, while a sequence patterns fails at the first failing subpattern.",Subpattern Evaluation,Left-to-right Matching,Informal Semantics of Structural Pattern Matching
634,"A secondary outcome of pattern matching may be one or more name bindings. We may say “the pattern binds a value to a name”. When subpatterns tried until the first success, only the bindings due to the successful subpattern are valid; when trying until the first failure, the bindings are merged. Several more rules, explained below, apply to these cases.",Outcome,Name Binding,Informal Semantics of Structural Pattern Matching
634,"match_stmt: ""match"" subject_expr ':' NEWLINE INDENT case_block+ DEDENT subject_expr:     | star_named_expression ',' star_named_expressions?     | named_expression case_block: ""case"" patterns [guard] ':' block guard: 'if' named_expression ",Match/Case Syntax,Syntax of structural pattern matching,Match Statement Grammar
634,Structural Pattern Matching is a new compound statement,Match/Case Syntax,Structural Pattern Matching is a new compound statement,Syntax of Structural Pattern Matching
634,"The match and case keywords are soft keywords, i.e. they are not reserved words in other grammatical contexts (including at the start of a line if there is no colon where expected). This implies that they are recognized as keywords when part of a match statement or case block only, and are allowed to be used in all other contexts as variable or argument names.",Keyword Handling,Design decision,Soft Keywords
634,The match statement first evaluates the subject expression. If a comma is present a tuple is constructed using the standard rules.,Match Statement Execution,Subject Expression Evaluation,Informal Semantics of Structural Pattern Matching
634,"During failed pattern matches, some subpatterns may succeed. For example, while matching the pattern (0, x, 1) with the value [0, 1, 2], the subpattern x may succeed if the list elements are matched from left to right. The implementation may choose to either make persistent bindings for those partial matches or not. User code including a match statement should not rely on the bindings being made for a failed match, but also shouldn’t assume that variables are unchanged by a failed match. This part of the behavior is left intentionally unspecified so different implementations can add optimizations, and to prevent introducing semantic restrictions that could limit the extensibility of this feature.",Outcome,Partial Bindings in Failed Matches,Informal Semantics of Structural Pattern Matching
634,,Outcome,Partial Bindings in Failed Matches,Informal Semantics of Structural Pattern Matching
634,,Implementation Flexibility,Unspecified Behavior for Failed Matches,Missing or Deferred Specification
634,,Developer Guidance,Avoid Reliance on Failed Match Bindings,Practice
634,"User code including a match statement should not rely on the bindings being made for a failed match, but also shouldn’t assume that variables are unchanged by a failed match",Developer Guidance,Recommendation for Python Developers,Practice
634,"This part of the behavior is left intentionally unspecified so different implementations can add optimizations, and to prevent introducing semantic restrictions that could limit the extensibility of this feature.",Implementation Flexibility,Missing or Deferred Specification,Missing or Deferred Specification
634,"If a guard is present on a case block, once the pattern or patterns in the case block succeed, the expression in the guard is evaluated. If this raises an exception, the exception bubbles up. Otherwise, if the condition is “truthy” the case block is selected; if it is “falsy” the case block is not selected.",Match Statement Execution,Guard Evaluation,Informal Semantics of Structural Pattern Matching
634,Since guards are expressions they are allowed to have side effects,Guard Behavior,case expressions might have side effects,Design Decision
634,"A pattern is considered irrefutable if we can prove from its syntax alone that it will always succeed. In particular, capture patterns and wildcard patterns are irrefutable, and so are AS patterns whose left-hand side is irrefutable, OR patterns containing at least one irrefutable pattern, and parenthesized irrefutable patterns.

A case block is considered irrefutable if it has no guard and its pattern is irrefutable.

A match statement may have at most one irrefutable case block, and it must be last.",Pattern Classification,Irrefutable Patterns,Informal Semantics of Structural Pattern Matching
634,"The top-level syntax for patterns is as follows:

patterns: open_sequence_pattern | pattern pattern: as_pattern | or_pattern as_pattern: or_pattern 'as' capture_pattern or_pattern: '|'.closed_pattern+ closed_pattern:     | literal_pattern     | capture_pattern     | wildcard_pattern     | value_pattern     | group_pattern     | sequence_pattern     | mapping_pattern     | class_pattern ",Pattern Grammar,Pattern Syntax Definition,Syntax of Structural Pattern Matching
634,"Syntax:

as_pattern: or_pattern 'as' capture_pattern 

(Note: the name on the right may not be _.)",Pattern Grammar,AS Pattern Syntax,Syntax of Structural Pattern Matching
634,"An AS pattern matches the OR pattern on the left of the as keyword against the subject. If this fails, the AS pattern fails. Otherwise, the AS pattern binds the subject to the name on the right of the as keyword and succeeds.",Outcome,AS Pattern Success and Name Binding,Informal Semantics of Structural Pattern Matching
634,This proposal intentionally leaves out any specification of what methods are called or how many times. This behavior is therefore undefined and user code should not rely on it.,Implementation Flexibility,Undefined Method Calls Behavior,Missing or Deferred Specification
634,This proposal intentionally leaves out any specification of what methods are called or how many times. This behavior is therefore undefined and user code should not rely on it.,Developer Guidance,Recommendation for Python Developers,Practice
634,"The only side-effect produced explicitly by the matching process is the binding of names. However, the process relies on attribute access, instance checks, len(), equality and item access on the subject and some of its components. It also evaluates value patterns and the class name of class patterns.",Matching Process Behavior,Explicit Side Effects through Name Binding,Structural Pattern Matching and Side Effects
634,"The only side-effect produced explicitly by the matching process is the binding of names. However, the process relies on attribute access, instance checks, len(), equality and item access on the subject and some of its components. It also evaluates value patterns and the class name of class patterns.",Implementation Behavior,Implicit Operations During Matching,Structural Pattern Matching and Side Effects
