Theme,Group,Code,Definition,Criteria
Informal Semantics of Structural Pattern Matching,Pattern Matching Process,Pattern Matching Process,Defines the general mechanism used by structural pattern matching to evaluate patterns against subjects.,Apply when the excerpt explains the overall matching process.
Informal Semantics of Structural Pattern Matching,Outcome,Success or Failure,Represents whether a pattern successfully matches or fails against a subject.,Apply when describing the result of a matching attempt.
Informal Semantics of Structural Pattern Matching,Subpattern Evaluation,Left-to-right Matching,Defines that subpatterns may be evaluated sequentially from left to right.,Apply when the excerpt discusses evaluation order.
Informal Semantics of Structural Pattern Matching,Outcome,Name Binding,Describes the creation of variable bindings from values extracted during matching.,Apply when matching assigns values to names.
Informal Semantics of Structural Pattern Matching,Match Statement Execution,Subject Expression Evaluation,Describes evaluation of the expression provided to the match statement.,Apply when discussing evaluation of the matched object.
Informal Semantics of Structural Pattern Matching,Match Statement Execution,Guard Evaluation,Describes the evaluation of guards associated with case clauses.,Apply when discussing additional conditions after matching.
Missing or Deferred Specification,Implementation Flexibility,Unspecified Behavior for Failed Matches,Represents behavior intentionally left unspecified when matches fail.,Apply when the specification allows implementation differences.
Missing or Deferred Specification,Implementation Flexibility,Missing or Deferred Specification,Indicates areas where Python implementations may define behavior differently.,Apply when behavior is not fully specified.
Missing or Deferred Specification,Implementation Flexibility,Undefined Method Calls Behavior,Represents unspecified behavior involving method calls during matching.,Apply when the specification does not define exact method invocation behavior.
Missing or Deferred Specification,Implementation Behavior,Undefined Binding Behavior in Failed Matches,Represents undefined variable states after failed matching attempts.,Apply when discussing unreliable bindings after failure.
Practice,Developer Guidance,Avoid Reliance on Failed Match Bindings,Recommends that developers should not depend on bindings created during failed matches.,Apply to developer recommendations.
Practice,Developer Guidance,Recommendation for Python Developers,General guidance provided to Python programmers regarding safe pattern matching usage.,Apply when the PEP provides programming recommendations.
Structural Pattern Matching and Side Effects,Implementation Behavior,Implicit Operations During Matching,Describes hidden operations performed internally during matching.,Apply when discussing implementation actions.
Structural Pattern Matching and Side Effects,Matching Process Behavior,Explicit Side Effects through Name Binding,Describes observable effects caused by variable assignment during matching.,Apply when discussing bindings as effects.
